matrix_size,threads,time_ms
4,6,1
5,6,1
50,6,4
500,6,895
4,2,0
4,3,0
100,3,28
100,2,36
100,1,33
100,2,20
100,4,12
100,8,7
100,16,9
500,1,2722
500,2,1421
500,4,959
500,8,723
500,16,698
1000,1,32309
1000,2,16910
1000,4,11519
1000,8,8734
1000,16,8745
100,1,33
100,2,14
500,1,2671
500,2,1402
1000,1,32409
1000,2,17011
100,4,7
100,6,6
100,8,6
100,16,7
500,4,942
500,6,747
500,8,703
500,16,701
1000,4,11512
1000,6,8834
1000,8,8795
1000,16,8763
1500,4,36711
1500,6,29213
1500,8,34371
1500,16,35373
2000,4,99544
2000,6,78259
2000,8,79698
2000,16,99786
